unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1743181200,2025-03-28 17:00:00,BTC/USD,83749,83947,83544,83940,44.66976183,3749579.8080102
1743177600,2025-03-28 16:00:00,BTC/USD,83997,84142,83628,83750,53.57185383,4486642.7582625
1743174000,2025-03-28 15:00:00,BTC/USD,84134,84470,83920,83993,56.22491216,4722499.04705488
1743170400,2025-03-28 14:00:00,BTC/USD,84977,85072,84119,84150,110.44166603,9293666.1964245
1743166800,2025-03-28 13:00:00,BTC/USD,85002,85540,84916,84978,143.03204802,12154577.376643559
1743163200,2025-03-28 12:00:00,BTC/USD,85212,85479,84876,85021,84.36100843,7172457.29772703
1743159600,2025-03-28 11:00:00,BTC/USD,84924,85212,84784,85212,54.19260558,4617860.30668296
1743156000,2025-03-28 10:00:00,BTC/USD,85133,85227,84877,84917,37.21597888,3160269.27855296
1743152400,2025-03-28 09:00:00,BTC/USD,85182,85366,84964,85122,55.93320635,4761146.3909247
1743148800,2025-03-28 08:00:00,BTC/USD,85167,85405,85029,85176,40.43133224,3443779.15487424
1743145200,2025-03-28 07:00:00,BTC/USD,85704,85855,85140,85167,56.55013352,4816205.22149784
1743141600,2025-03-28 06:00:00,BTC/USD,86045,86210,85634,85696,97.24146760,8333204.8074496
1743138000,2025-03-28 05:00:00,BTC/USD,86302,86302,85813,86046,24.86146478,2139229.59845988
1743134400,2025-03-28 04:00:00,BTC/USD,86782,86812,85942,86303,73.74632495,6364529.08215985
1743130800,2025-03-28 03:00:00,BTC/USD,86949,86986,86746,86788,32.37762522,2809989.33759336
1743127200,2025-03-28 02:00:00,BTC/USD,87223,87314,86948,86948,34.70077815,3017163.2585862
1743123600,2025-03-28 01:00:00,BTC/USD,87348,87481,87108,87223,9.48650548,827441.4674820399
1743120000,2025-03-28 00:00:00,BTC/USD,87224,87377,86926,87347,39.32105002,3434575.75609694
1743116400,2025-03-27 23:00:00,BTC/USD,87344,87344,87124,87219,33.40091805,2913194.6714029503
1743112800,2025-03-27 22:00:00,BTC/USD,87568,87591,87305,87345,10.49916895,917049.91193775
1743109200,2025-03-27 21:00:00,BTC/USD,87307,87702,87234,87553,39.57867584,3465231.8058195203
1743105600,2025-03-27 20:00:00,BTC/USD,87058,87331,86927,87308,12.96241203,1131722.2695152399
1743102000,2025-03-27 19:00:00,BTC/USD,87190,87417,87026,87027,34.09884279,2967519.99148533
1743098400,2025-03-27 18:00:00,BTC/USD,86892,87397,86864,87201,41.33943712,3604840.25630112
1743094800,2025-03-27 17:00:00,BTC/USD,86816,87141,86794,86899,20.85014746,1811856.9641265399
1743091200,2025-03-27 16:00:00,BTC/USD,86958,87253,86799,86816,20.58598217,1787192.62807072
1743087600,2025-03-27 15:00:00,BTC/USD,87280,87575,86771,86958,248.82560025,21637376.5465395
1743084000,2025-03-27 14:00:00,BTC/USD,86374,87293,86200,87274,365.84436963,31928701.51508862
1743080400,2025-03-27 13:00:00,BTC/USD,86769,86871,85828,86362,211.01776026,18223915.81157412
1743076800,2025-03-27 12:00:00,BTC/USD,86952,87120,86738,86771,32.02453576,2778800.99243096
1743073200,2025-03-27 11:00:00,BTC/USD,87204,87331,86813,86958,24.57674985,2137145.0134563
1743069600,2025-03-27 10:00:00,BTC/USD,87425,87597,87125,87205,33.17552816,2893071.9331928
1743066000,2025-03-27 09:00:00,BTC/USD,87455,87544,87419,87425,12.03716780,1052349.394915
1743062400,2025-03-27 08:00:00,BTC/USD,87424,87597,87293,87455,22.03607625,1927165.04844375
1743058800,2025-03-27 07:00:00,BTC/USD,87380,87455,87293,87425,16.15273976,1412153.273518
1743055200,2025-03-27 06:00:00,BTC/USD,87335,87555,87304,87357,15.50239389,1354242.62304873
1743051600,2025-03-27 05:00:00,BTC/USD,87542,87542,87283,87335,26.63549915,2326211.31826525
1743048000,2025-03-27 04:00:00,BTC/USD,87696,87714,87433,87543,7.95113753,696066.43278879
1743044400,2025-03-27 03:00:00,BTC/USD,87589,87692,87459,87687,7.23257965,634203.21176955
1743040800,2025-03-27 02:00:00,BTC/USD,87395,87755,87366,87589,30.93070076,2709189.14886764
1743037200,2025-03-27 01:00:00,BTC/USD,87303,87525,87200,87395,9.20984045,804894.0061277499
1743033600,2025-03-27 00:00:00,BTC/USD,86966,87303,86809,87302,12.90463354,1126600.3173090802
1743030000,2025-03-26 23:00:00,BTC/USD,86847,86965,86568,86913,15.82435188,1375341.89494644
1743026400,2025-03-26 22:00:00,BTC/USD,87114,87154,86759,86823,9.68012946,840457.88010558
1743022800,2025-03-26 21:00:00,BTC/USD,87300,87310,86716,87143,14.18789574,1236375.79847082
1743019200,2025-03-26 20:00:00,BTC/USD,86587,87421,86526,87288,194.97137903,17018661.73277064
1743015600,2025-03-26 19:00:00,BTC/USD,86208,86796,85869,86587,68.90508013,5966284.17321631
1743012000,2025-03-26 18:00:00,BTC/USD,86587,86760,86190,86208,13.86724589,1195467.53368512
1743008400,2025-03-26 17:00:00,BTC/USD,86525,86837,86486,86568,21.68155575,1876928.9181660002
1743004800,2025-03-26 16:00:00,BTC/USD,86769,87060,86435,86526,68.77985949,5951246.1222317405
1743001200,2025-03-26 15:00:00,BTC/USD,86787,87021,86574,86771,164.49809233,14273663.969566429
1742997600,2025-03-26 14:00:00,BTC/USD,86868,87303,86469,86789,352.15310915,30563016.190019347
1742994000,2025-03-26 13:00:00,BTC/USD,87808,87952,86771,86868,286.75750387,24910050.84617916
1742990400,2025-03-26 12:00:00,BTC/USD,87992,88040,87629,87802,44.70374245,3925077.9945949
1742986800,2025-03-26 11:00:00,BTC/USD,88237,88283,87976,87992,38.60413609,3396855.14283128
1742983200,2025-03-26 10:00:00,BTC/USD,87961,88283,87961,88236,4.60833560,406621.1000016
1742979600,2025-03-26 09:00:00,BTC/USD,88001,88071,87862,87960,7.88886002,693904.1273592
1742976000,2025-03-26 08:00:00,BTC/USD,88157,88210,87899,88003,13.68126106,1203992.01706318
1742972400,2025-03-26 07:00:00,BTC/USD,87934,88296,87789,88157,28.11748667,2478753.27236719
1742968800,2025-03-26 06:00:00,BTC/USD,87544,87938,87475,87932,23.39646889,2057298.30243548
1742965200,2025-03-26 05:00:00,BTC/USD,87349,87629,87242,87544,43.39851495,3799279.5927828
1742961600,2025-03-26 04:00:00,BTC/USD,87176,87478,87106,87349,7.83731808,684581.89696992
1742958000,2025-03-26 03:00:00,BTC/USD,87338,87424,87074,87169,29.13833197,2539959.25949293
1742954400,2025-03-26 02:00:00,BTC/USD,87864,87864,87336,87357,39.11831936,3417259.0243315203
1742950800,2025-03-26 01:00:00,BTC/USD,87669,87896,87601,87864,19.57436285,1719881.8174524
1742947200,2025-03-26 00:00:00,BTC/USD,87448,87829,87255,87666,41.58643205,3645716.1520953
1742943600,2025-03-25 23:00:00,BTC/USD,87504,87541,87189,87436,58.28647425,5096336.162523
1742940000,2025-03-25 22:00:00,BTC/USD,87781,87852,87230,87505,145.87026877,12764377.86871885
1742936400,2025-03-25 21:00:00,BTC/USD,87888,88237,87762,87763,101.24997582,8886001.62789066
1742932800,2025-03-25 20:00:00,BTC/USD,88139,88539,87859,87888,147.33429000,12948916.07952
1742929200,2025-03-25 19:00:00,BTC/USD,87848,88280,87848,88139,123.13832716,10853289.01755524
1742925600,2025-03-25 18:00:00,BTC/USD,87962,88080,87618,87868,81.42156764,7154350.30539152
1742922000,2025-03-25 17:00:00,BTC/USD,87823,88336,87823,87986,187.83999753,16527290.022674581
1742918400,2025-03-25 16:00:00,BTC/USD,87803,87998,87661,87822,39.99181394,3512161.08383868
1742914800,2025-03-25 15:00:00,BTC/USD,88043,88272,87753,87817,231.72171083,20349105.47995811
1742911200,2025-03-25 14:00:00,BTC/USD,87631,88230,87372,88047,261.79167597,23049971.69413059
1742907600,2025-03-25 13:00:00,BTC/USD,87091,87976,87060,87618,271.09435554,23752745.24370372
1742904000,2025-03-25 12:00:00,BTC/USD,87379,87450,86959,87092,55.02182090,4791960.4258228
